01             0.12360             0.54797             0.55221             0.25210             0.25060
02             0.13059             0.54878             0.55245             0.28213             0.27616
03             0.13902             0.54934             0.55036             0.29615             0.30203
04             0.15456             0.55053             0.54998             0.34056             0.31811
05             0.18123             0.55137             0.55071             0.37857             0.36632
06             0.22317             0.54915             0.54890             0.44450             0.45577
07             0.30021             0.54900             0.54805             0.63147             0.61835
08             0.41960             0.54978             0.54938             0.88992             0.90003
09             0.50049             0.54997             0.55052             1.10112             1.10138
10             0.41917             0.55127             0.55035             0.88151             0.87836
11             0.29974             0.55100             0.54954             0.62482             0.61045
12             0.22307             0.55060             0.55117             0.45023             0.45910
13             0.17971             0.54907             0.55204             0.35579             0.35359
14             0.15531             0.54982             0.55093             0.30460             0.33618
15             0.13998             0.54850             0.54878             0.26195             0.28574
16             0.13017             0.54974             0.55168             0.26184             0.26876
