01             0.12360             0.73914             0.86643             0.11664             0.42195
02             0.13059             0.76341             0.87362             0.16249             0.42212
03             0.13902             0.78026             0.81075             0.16646             0.42071
04             0.15456             0.81605             0.79933             0.23439             0.42046
05             0.18123             0.84103             0.82122             0.33207             0.42094
06             0.22317             0.77445             0.76700             0.47705             0.41973
07             0.30021             0.77002             0.74160             0.82944             0.41916
08             0.41960             0.79345             0.78151             1.36975             0.42006
09             0.50049             0.79920             0.81551             1.76801             0.42082
10             0.41917             0.83800             0.81050             1.31094             0.42070
11             0.29974             0.83008             0.78605             0.81106             0.42016
12             0.22307             0.81812             0.83525             0.48854             0.42126
13             0.17971             0.77196             0.86123             0.31069             0.42184
14             0.15531             0.79469             0.82776             0.22277             0.42109
15             0.13998             0.75513             0.76340             0.15704             0.41965
16             0.13017             0.79226             0.85029             0.14082             0.42159
